from_postcode,BT126BA,BT161RH,BT358DR,BT412RL,BT476SB,BT521HS,BT635QQ,BT746DN
N00003490,13.034936869946,27.4048869057523,52.5636145854392,35.2996111471651,96.2,76.5915751408553,40.372699739972,106.6
N00003491,11.4562670706944,26.0482389454077,52.5636145854392,34.0096740062926,96.2,76.5915751408553,40.372699739972,106.6
N00003492,11.4562670706944,26.0482389454077,52.5636145854392,34.0096740062926,96.2,76.5915751408553,40.372699739972,106.6
N00003493,13.034936869946,27.4048869057523,53.7507676882285,35.2996111471651,97.5,77.6959497099794,41.6212373612667,107.9
N00003494,11.4562670706944,26.0482389454077,51.3712344516913,34.0096740062926,94.9,75.4841013054998,39.1166217609521,105.3
N00003495,9.83402616304834,26.0482389454077,52.5636145854392,34.0096740062926,94.9,75.4841013054998,39.1166217609521,105.3
N00003496,11.4562670706944,26.0482389454077,51.3712344516913,34.0096740062926,94.9,75.4841013054998,39.1166217609521,105.3
N00003497,13.034936869946,27.4048869057523,50.1734580681615,35.2996111471651,96.2,76.5915751408553,35.2996111471651,101.4
N00003498,13.034936869946,27.4048869057523,48.9701057321922,35.2996111471651,96.2,76.5915751408553,35.2996111471651,101.4
N00003499,13.034936869946,27.4048869057523,48.9701057321922,35.2996111471651,96.2,76.5915751408553,35.2996111471651,101.4
N00003500,11.4562670706944,26.0482389454077,50.1734580681615,34.0096740062926,94.9,75.4841013054998,36.5804618603731,102.7
N00003501,11.4562670706944,26.0482389454077,50.1734580681615,34.0096740062926,94.9,75.4841013054998,36.5804618603731,102.7
N00003502,11.4562670706944,26.0482389454077,48.9701057321922,34.0096740062926,94.9,76.5915751408553,35.2996111471651,101.4
N00003503,11.4562670706944,26.0482389454077,51.3712344516913,34.0096740062926,94.9,75.4841013054998,36.5804618603731,104
N00003504,11.4562670706944,26.0482389454077,51.3712344516913,34.0096740062926,94.9,76.5915751408553,37.8526650536016,104
N00003505,11.4562670706944,26.0482389454077,48.9701057321922,34.0096740062926,96.2,76.5915751408553,35.2996111471651,101.4
N00003506,14.5772411907136,28.7486181479082,44.0969174783216,36.5804618603731,98.8,78.7972860024428,30.0802640216665,96.2
N00003507,16.0884404323873,30.0802640216665,44.0969174783216,37.8526650536016,98.8,78.7972860024428,28.7486181479082,94.9
N00003508,16.0884404323873,30.0802640216665,44.0969174783216,37.8526650536016,98.8,79.8956428122916,28.7486181479082,94.9
N00003509,16.0884404323873,30.0802640216665,45.3246173009173,37.8526650536016,100.1,79.8956428122916,27.4048869057523,94.9
N00003510,16.0884404323873,30.0802640216665,44.0969174783216,37.8526650536016,98.8,78.7972860024428,27.4048869057523,94.9
N00003511,16.0884404323873,30.0802640216665,44.0969174783216,37.8526650536016,98.8,78.7972860024428,27.4048869057523,93.6
N00003512,16.0884404323873,30.0802640216665,44.0969174783216,37.8526650536016,98.8,78.7972860024428,28.7486181479082,94.9
N00003513,16.0884404323873,30.0802640216665,44.0969174783216,37.8526650536016,98.8,78.7972860024428,28.7486181479082,94.9
N00003514,13.034936869946,27.4048869057523,50.1734580681615,35.2996111471651,96.2,76.5915751408553,36.5804618603731,102.7
N00003515,13.034936869946,27.4048869057523,50.1734580681615,35.2996111471651,96.2,77.6959497099794,36.5804618603731,102.7
N00003516,13.034936869946,27.4048869057523,50.1734580681615,35.2996111471651,96.2,76.5915751408553,36.5804618603731,102.7
N00003517,14.5772411907136,28.7486181479082,50.1734580681615,36.5804618603731,97.5,77.6959497099794,36.5804618603731,102.7
N00003518,13.034936869946,27.4048869057523,50.1734580681615,35.2996111471651,97.5,77.6959497099794,36.5804618603731,102.7
N00003519,13.034936869946,27.4048869057523,50.1734580681615,35.2996111471651,97.5,77.6959497099794,36.5804618603731,102.7
N00003520,14.5772411907136,28.7486181479082,51.3712344516913,36.5804618603731,97.5,78.7972860024428,37.8526650536016,104
N00003521,16.0884404323873,30.0802640216665,45.3246173009173,37.8526650536016,98.8,79.8956428122916,31.4005615242259,97.5
N00003522,16.0884404323873,30.0802640216665,44.0969174783216,37.8526650536016,98.8,78.7972860024428,30.0802640216665,97.5
N00003523,14.5772411907136,28.7486181479082,44.0969174783216,36.5804618603731,98.8,78.7972860024428,30.0802640216665,96.2
N00003524,16.0884404323873,30.0802640216665,46.5458959812848,37.8526650536016,98.8,78.7972860024428,31.4005615242259,98.8
N00003525,16.0884404323873,30.0802640216665,45.3246173009173,37.8526650536016,98.8,78.7972860024428,31.4005615242259,97.5
N00003526,14.5772411907136,28.7486181479082,45.3246173009173,36.5804618603731,98.8,78.7972860024428,30.0802640216665,96.2
N00003527,45.3246173009173,52.5636145854392,87.1,27.4048869057523,57.2824173957882,50.1734580681615,50.1734580681615,91
N00003528,47.7609862792756,53.7507676882285,73.2596001590327,28.7486181479082,56.1100223905244,47.7609862792756,50.1734580681615,88.4
N00003529,48.9701057321922,56.1100223905244,73.2596001590327,30.0802640216665,59.6134188979342,52.5636145854392,48.9701057321922,88.4
N00003530,42.8625469209214,50.1734580681615,83.2,23.2922777214499,56.1100223905244,48.9701057321922,53.7507676882285,92.3
N00003531,42.8625469209214,48.9701057321922,83.2,23.2922777214499,57.2824173957882,50.1734580681615,60.7722753147343,93.6
N00003532,50.1734580681615,57.2824173957882,91,31.4005615242259,58.4501735056364,42.8625469209214,59.6134188979342,98.8
N00003533,47.7609862792756,54.9328533660975,88.4,28.7486181479082,54.9328533660975,46.5458959812848,57.2824173957882,96.2
N00003534,46.5458959812848,53.7507676882285,87.1,28.7486181479082,54.9328533660975,45.3246173009173,56.1100223905244,94.9
N00003535,47.7609862792756,54.9328533660975,88.4,28.7486181479082,56.1100223905244,42.8625469209214,58.4501735056364,96.2
N00003536,51.3712344516913,58.4501735056364,93.6,34.0096740062926,58.4501735056364,37.8526650536016,60.7722753147343,100.1
N00003537,47.7609862792756,53.7507676882285,88.4,28.7486181479082,54.9328533660975,46.5458959812848,57.2824173957882,96.2
N00003538,45.3246173009173,52.5636145854392,74.3734648968056,26.0482389454077,53.7507676882285,45.3246173009173,51.3712344516913,89.7
N00003539,45.3246173009173,52.5636145854392,75.4841013054998,27.4048869057523,53.7507676882285,46.5458959812848,51.3712344516913,89.7
N00003540,45.3246173009173,52.5636145854392,75.4841013054998,27.4048869057523,53.7507676882285,46.5458959812848,52.5636145854392,91
