property,,time_ambulance_called,time_ambulance_called,time_ambulance_arrival,time_ambulance_arrival,time_ambulance_leaves_scene,time_ambulance_leaves_scene,time_admitting_unit_arrival,time_admitting_unit_arrival,time_needle,time_needle,time_transfer_unit_arrival,time_transfer_unit_arrival,time_puncture,time_puncture,mRS shift,mRS shift,utility_shift,utility_shift,mRS 0-2,mRS 0-2,reference_admissions,reference_relative_frequency
subtype,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
lsoa,lsoa_code,,,,,,,,,,,,,,,,,,,,,,
Bath and North East Somerset 011B,E01014462,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,,184.9,,244.9,,-0.590856967912095,,0.11945174599939068,,0.3906244911065876,,1.333333333,0.00017131354657587048
Bath and North East Somerset 011D,E01014464,30.0,,60.0,,80.0,,90.1,,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,2.0,0.00025697031992804833
Bath and North East Somerset 012A,E01014380,30.0,0.0,60.0,0.0,80.0,0.0,95.5,0.0,125.5,,,,,,-0.5460924316310776,,0.10024231570335895,,0.6891987638298663,,2.0,0.00025697031992804833
Bath and North East Somerset 012B,E01014381,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,,,,,-0.5509167558604982,0.0,0.1010737740467148,0.0,0.6901004445073456,0.0,3.0,0.00038545547989207247
Bath and North East Somerset 012C,E01014481,30.0,,60.0,,80.0,,90.1,,120.1,,,,,,-0.5579261645693461,,0.102280646480582,,0.6914094027445281,,2.0,0.00025697031992804833
Bath and North East Somerset 012E,E01014483,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.09999999999998,0.0,183.8,,243.8,,-0.5700773324141424,0.021046440078484416,0.10822575491879549,0.010297229871492236,0.5913842287037244,0.17324868347459155,2.0,0.00025697031992804833
Bath and North East Somerset 012F,E01014484,30.0,,60.0,,80.0,,89.0,,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,0.666666667,8.565677335217782e-05
Bath and North East Somerset 013A,E01014473,30.0,,60.0,,80.0,,89.0,,,,,,,,,,,,,,1.0,0.00012848515996402416
Bath and North East Somerset 013B,E01014474,30.0,,60.0,,80.0,,89.0,,119.0,,,,,,-0.5603335053763068,,0.10269481769217104,,0.6918586494967175,,1.0,0.00012848515996402416
Bath and North East Somerset 013C,E01014475,30.0,,60.0,,80.0,,87.9,,,,,,,,,,,,,,0.333333333,4.2828386611846335e-05
Bath and North East Somerset 014B,E01014436,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,,,,,,,,,,,,,2.0,0.00025697031992804833
Bath and North East Somerset 014C,E01014437,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.0,0.00025697031992804833
Bath and North East Somerset 015A,E01014455,30.0,,60.0,,80.0,,91.2,,121.2,,184.9,,244.9,,-0.590856967912095,,0.11945174599939068,,0.3906244911065876,,1.666666667,0.000214141933316202
Bath and North East Somerset 015B,E01014456,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,,,,,,-0.5533272842351653,,0.1014889737674679,,0.6905507439745506,,2.666666667,0.0003426270932802261
Bath and North East Somerset 015C,E01014457,30.0,0.0,60.0,0.0,80.0,0.0,90.1,0.0,120.1,,183.8,,243.8,,-0.594379668103735,,0.12011597179522249,,0.39133388062211705,,2.0,0.00025697031992804833
Bath and North East Somerset 015D,E01014458,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,,,,,,-0.5555177252880323,,0.101866121476618,,0.6909597935863311,,1.0,0.00012848515996402416
Bath and North East Somerset 016A,E01014391,30.0,0.0,60.0,0.0,80.0,0.0,97.59999999999998,0.0,127.6,0.0,,,,,-0.5414833481997912,0.0,0.09944733542126116,0.0,0.6883367266385902,0.0,1.666666667,0.000214141933316202
Bath and North East Somerset 016B,E01014392,30.0,0.0,60.0,0.0,80.0,0.0,97.59999999999998,0.0,127.6,0.0,191.3,,251.3,,-0.5559469795985761,0.020454663685326984,0.10751967984132418,0.0114160189589999,0.5374215564377363,0.21342628046589163,1.666666667,0.000214141933316202
Bath and North East Somerset 016C,E01014452,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,,,,,,,,,,,,,2.666666667,0.0003426270932802261
Bath and North East Somerset 016D,E01014453,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,,187.0,,247.0,,-0.5841387165923884,,0.11818435424704837,,0.38927148764915054,,4.0,0.0005139406398560967
Bath and North East Somerset 016E,E01014454,30.0,0.0,60.0,0.0,80.0,0.0,94.40000000000002,0.0,124.4,,188.1,,248.1,,-0.5806232518656174,,0.11752083912709399,,0.3885634500658388,,2.0,0.00025697031992804833
Bath and North East Somerset 016F,E01014459,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,0.0,,,,,-0.5366505671229076,0.0,0.09861312277405798,0.0,0.6874322385683737,0.0,1.666666667,0.000214141933316202
Bath and North East Somerset 016G,E01014460,30.0,0.0,60.0,0.0,80.0,0.0,98.7,0.0,128.7,0.0,,,,,-0.5390674957331283,0.0,0.09903040499309557,0.0,0.6878846615841877,0.0,3.0,0.00038545547989207247
Bath and North East Somerset 017B,E01014416,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,187.0,,247.0,,-0.5675277362264433,0.023491473717832764,0.10962906414688159,0.012099007289692142,0.539685966078248,0.21271819537170517,4.333333333,0.0005567690264679429
Bath and North East Somerset 017C,E01014417,30.0,0.0,60.0,0.0,80.0,0.0,91.2,0.0,121.2,0.0,,,,,-0.5555177252880323,0.0,0.101866121476618,0.0,0.6909597935863311,0.0,4.0,0.0005139406398560967
Bath and North East Somerset 018A,E01014387,30.0,0.0,60.0,0.0,80.0,0.0,93.3,0.0,123.3,0.0,187.0,,247.0,,-0.5619907427711283,0.019180707971563998,0.10677730078015933,0.009878798084653268,0.5898241255546139,0.1736836792221133,1.666666667,0.000214141933316202
Bath and North East Somerset 018B,E01014388,30.0,0.0,60.0,0.0,80.0,0.0,94.4,0.0,,,,,,,,,,,,,2.666666667,0.0003426270932802261
Bath and North East Somerset 018C,E01014389,30.0,0.0,60.0,0.0,80.0,0.0,94.40000000000002,0.0,124.40000000000002,0.0,,,,,-0.5485051373724896,0.0,0.10065822127345925,0.0,0.6896497842700363,0.0,2.0,0.00025697031992804833
Bath and North East Somerset 019A,E01014431,30.0,0.0,60.0,0.0,80.0,0.0,92.2,0.0,122.2,0.0,185.9,,245.9,,-0.5647704128504477,0.01982008015921436,0.10727535420630067,0.010022304911981045,0.5903604934910006,0.17353460426056094,1.333333333,0.00017131354657587048
Bath and North East Somerset 019B,E01014432,30.0,,60.0,,80.0,,93.3,,,,,,,,,,,,,,2.666666667,0.0003426270932802261
Bath and North East Somerset 019C,E01014433,30.0,0.0,60.0,0.0,80.0,0.0,95.5,0.0,125.5,0.0,189.19999999999996,0.0,249.19999999999996,0.0,-0.5771102774928014,0.0,0.11685757120933021,0.0,0.3878558824508314,0.0,1.0,0.00012848515996402416
Bath and North East Somerset 020A,E01014385,30.0,0.0,60.0,0.0,80.0,0.0,100.8,0.0,130.8,0.0,194.5,,254.5,,-0.5430413127399364,0.014876385047154012,0.10337742609751542,0.008909592884817697,0.5861648782345702,0.1746872945682952,1.333333333,0.00017131354657587048
Bath and North East Somerset 020B,E01014386,30.0,,60.0,,80.0,,103.0,,,,,,,,,,,,,,1.0,0.00012848515996402416
Bath and North East Somerset 020C,E01014419,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,0.0,,,,,-0.529613409419682,0.0,0.09739721301195137,0.0,0.6861140689385011,0.0,3.0,0.00038545547989207247
Bath and North East Somerset 020E,E01014447,30.0,0.0,60.0,0.0,80.0,0.0,104.1,0.0,134.1,,,,,,-0.52719230109543,,0.0969785581024103,,0.6856602522029953,,2.666666667,0.0003426270932802261
Bath and North East Somerset 021A,E01014382,30.0,,60.0,,80.0,,108.4,,,,,,,,,,,,,,4.333333333,0.0005567690264679429
Bath and North East Somerset 021B,E01014383,30.0,,60.0,,80.0,,113.7,,,,,,,,,,,,,,1.666666667,0.000214141933316202
Bath and North East Somerset 021C,E01014384,30.0,0.0,60.0,0.0,80.0,0.0,103.0,0.0,133.0,,,,,,-0.529613409419682,,0.09739721301195137,,0.6861140689385011,,1.666666667,0.000214141933316202
Bath and North East Somerset 022A,E01014379,30.0,,60.0,,80.0,,98.7,,128.7,,192.4,,252.4,,-0.5669048899665166,,0.1149294838894665,,0.38580020095092876,,3.0,0.00038545547989207247
Bath and North East Somerset 022B,E01014442,30.0,0.0,60.0,0.0,80.0,0.0,99.8,0.0,129.8,0.0,193.5,,253.5,,-0.5500261161246682,0.018915882802475803,0.10644015963300837,0.011069101679121755,0.5362633672956758,0.21378506796248195,2.0,0.00025697031992804833
